graph_id,sheet_id,status,reason,n_rooms,n_doors,integrity_passed
APT_FP_7e6f8df1_17434935_u1,APT_FP_7e6f8df1_17434935,ok,,6,5,True
APT_FP_70b48269_17434935_u0,APT_FP_70b48269_17434935,ok,,3,2,True
,APT_FP_9179aee0_17434935,rejected,no_unit_with_entrance,25,,
APT_FP_d0a101e1_17447720_u0,APT_FP_d0a101e1_17447720,ok,,5,4,True
APT_FP_d0a101e1_17447720_u1,APT_FP_d0a101e1_17447720,ok,,5,4,True
APT_FP_03a66986_17446927_u0,APT_FP_03a66986_17446927,ok,,3,2,True
APT_FP_f2444dd8_17438443_u0,APT_FP_f2444dd8_17438443,ok,,15,10,True
APT_FP_f2444dd8_17438443_u1,APT_FP_f2444dd8_17438443,ok,,5,3,True
APT_FP_2430b22c_17438443_u0,APT_FP_2430b22c_17438443,ok,,5,3,True
APT_FP_2430b22c_17438443_u1,APT_FP_2430b22c_17438443,ok,,8,6,True
APT_FP_cd4c4224_17447720_u0,APT_FP_cd4c4224_17447720,ok,,5,4,True
APT_FP_cd4c4224_17447720_u1,APT_FP_cd4c4224_17447720,ok,,5,4,True
APT_FP_cd4c4224_17447720_u2,APT_FP_cd4c4224_17447720,ok,,6,5,True
APT_FP_cd4c4224_17447720_u3,APT_FP_cd4c4224_17447720,ok,,5,4,True
APT_FP_913c3941_17438443_u0,APT_FP_913c3941_17438443,ok,,5,3,True
APT_FP_913c3941_17438443_u1,APT_FP_913c3941_17438443,ok,,13,8,True
APT_FP_998e50a3_17447720_u0,APT_FP_998e50a3_17447720,ok,,6,5,True
APT_FP_998e50a3_17447720_u1,APT_FP_998e50a3_17447720,ok,,5,4,True
APT_FP_99360955_17446927_u0,APT_FP_99360955_17446927,ok,,2,1,True
APT_FP_99360955_17446927_u1,APT_FP_99360955_17446927,ok,,19,12,True
APT_FP_99360955_17446927_u2,APT_FP_99360955_17446927,ok,,5,2,True
APT_FP_99360955_17446927_u3,APT_FP_99360955_17446927,ok,,3,2,True
APT_FP_405c2892_17438443_u0,APT_FP_405c2892_17438443,ok,,11,9,True
APT_FP_405c2892_17438443_u1,APT_FP_405c2892_17438443,ok,,11,9,True
APT_FP_7e4e288a_17434935_u0,APT_FP_7e4e288a_17434935,ok,,4,3,True
APT_FP_68d8fc1f_17441963_u0,APT_FP_68d8fc1f_17441963,ok,,3,2,True
APT_FP_f6cf9bf5_17446927_u0,APT_FP_f6cf9bf5_17446927,ok,,13,10,True
APT_FP_f6cf9bf5_17446927_u1,APT_FP_f6cf9bf5_17446927,ok,,8,6,True
APT_FP_f6cf9bf5_17446927_u2,APT_FP_f6cf9bf5_17446927,ok,,3,2,True
APT_FP_f6cf9bf5_17446927_u3,APT_FP_f6cf9bf5_17446927,ok,,3,2,True
,APT_FP_0f03cadf_17436388,rejected,no_unit_with_entrance,17,,
APT_FP_fc8f0cfc_17446927_u0,APT_FP_fc8f0cfc_17446927,ok,,2,1,True
APT_FP_9082c6a6_17438514_u0,APT_FP_9082c6a6_17438514,ok,,12,11,True
APT_FP_6225f205_17435728_u0,APT_FP_6225f205_17435728,ok,,2,1,True
APT_FP_5e726dda_17446927_u0,APT_FP_5e726dda_17446927,ok,,13,8,True
APT_FP_5e726dda_17446927_u1,APT_FP_5e726dda_17446927,ok,,3,2,True
APT_FP_5e726dda_17446927_u2,APT_FP_5e726dda_17446927,ok,,3,2,True
APT_FP_5e726dda_17446927_u3,APT_FP_5e726dda_17446927,ok,,2,1,True
APT_FP_5e726dda_17446927_u4,APT_FP_5e726dda_17446927,ok,,2,1,True
APT_FP_55a27caf_17438514_u0,APT_FP_55a27caf_17438514,ok,,14,10,True
APT_FP_ecca636c_17434935_u0,APT_FP_ecca636c_17434935,ok,,6,5,True
APT_FP_ecca636c_17434935_u1,APT_FP_ecca636c_17434935,ok,,6,5,True
APT_FP_ecca636c_17434935_u2,APT_FP_ecca636c_17434935,ok,,17,13,True
APT_FP_ecca636c_17434935_u3,APT_FP_ecca636c_17434935,ok,,3,2,True
APT_FP_1d2e7ca0_17438514_u0,APT_FP_1d2e7ca0_17438514,ok,,7,5,True
APT_FP_20b4c023_17446927_u0,APT_FP_20b4c023_17446927,ok,,20,12,True
APT_FP_20b4c023_17446927_u1,APT_FP_20b4c023_17446927,ok,,15,10,True
APT_FP_20b4c023_17446927_u2,APT_FP_20b4c023_17446927,ok,,3,2,True
APT_FP_20b4c023_17446927_u3,APT_FP_20b4c023_17446927,ok,,8,6,True
APT_FP_61bfc82a_17447720_u0,APT_FP_61bfc82a_17447720,ok,,5,4,True
APT_FP_e752940a_17446927_u0,APT_FP_e752940a_17446927,ok,,3,2,True
APT_FP_e752940a_17446927_u1,APT_FP_e752940a_17446927,ok,,3,2,True
APT_FP_d4dc2278_17446927_u0,APT_FP_d4dc2278_17446927,ok,,8,8,True
APT_FP_c8c4c8a6_17434935_u0,APT_FP_c8c4c8a6_17434935,ok,,3,2,True
APT_FP_c8c4c8a6_17434935_u1,APT_FP_c8c4c8a6_17434935,ok,,6,5,True
APT_FP_c8c4c8a6_17434935_u2,APT_FP_c8c4c8a6_17434935,ok,,17,13,True
APT_FP_c8c4c8a6_17434935_u3,APT_FP_c8c4c8a6_17434935,ok,,3,2,True
APT_FP_6f8ea6e7_17438443_u0,APT_FP_6f8ea6e7_17438443,ok,,10,8,True
APT_FP_6f8ea6e7_17438443_u1,APT_FP_6f8ea6e7_17438443,ok,,4,4,True
APT_FP_47a53635_17446927_u0,APT_FP_47a53635_17446927,ok,,4,3,True
APT_FP_47a53635_17446927_u1,APT_FP_47a53635_17446927,ok,,2,1,True
APT_FP_47a53635_17446927_u2,APT_FP_47a53635_17446927,ok,,3,2,True
APT_FP_47a53635_17446927_u3,APT_FP_47a53635_17446927,ok,,20,12,True
,APT_FP_83d8ac88_17438514,rejected,no_unit_with_entrance,17,,
APT_FP_0a8937f6_17441963_u0,APT_FP_0a8937f6_17441963,ok,,2,1,True
APT_FP_e9a0ebe3_17447720_u0,APT_FP_e9a0ebe3_17447720,ok,,5,4,True
APT_FP_e9a0ebe3_17447720_u1,APT_FP_e9a0ebe3_17447720,ok,,5,4,True
APT_FP_e9a0ebe3_17447720_u2,APT_FP_e9a0ebe3_17447720,ok,,6,5,True
APT_FP_03e8b083_17446927_u0,APT_FP_03e8b083_17446927,ok,,4,3,True
APT_FP_5bae605a_17441963_u0,APT_FP_5bae605a_17441963,ok,,3,2,True
APT_FP_e4900f9c_17434935_u0,APT_FP_e4900f9c_17434935,ok,,3,2,True
APT_FP_e4900f9c_17434935_u1,APT_FP_e4900f9c_17434935,ok,,3,2,True
APT_FP_e4900f9c_17434935_u2,APT_FP_e4900f9c_17434935,ok,,5,4,True
APT_FP_e4900f9c_17434935_u3,APT_FP_e4900f9c_17434935,ok,,3,2,True
APT_FP_468d10b6_17434935_u0,APT_FP_468d10b6_17434935,ok,,2,1,True
APT_FP_b08126fa_17447720_u0,APT_FP_b08126fa_17447720,ok,,3,2,True
APT_FP_b08126fa_17447720_u1,APT_FP_b08126fa_17447720,ok,,2,1,True
APT_FP_1989e5d5_17447720_u0,APT_FP_1989e5d5_17447720,ok,,5,4,True
APT_FP_1989e5d5_17447720_u1,APT_FP_1989e5d5_17447720,ok,,6,5,True
APT_FP_1989e5d5_17447720_u2,APT_FP_1989e5d5_17447720,ok,,6,5,True
APT_FP_1989e5d5_17447720_u3,APT_FP_1989e5d5_17447720,ok,,5,4,True
APT_FP_d5bf56b3_17446927_u0,APT_FP_d5bf56b3_17446927,ok,,5,2,True
APT_FP_d5bf56b3_17446927_u1,APT_FP_d5bf56b3_17446927,ok,,3,2,True
APT_FP_94ec45c0_17446927_u0,APT_FP_94ec45c0_17446927,ok,,10,4,True
APT_FP_94ec45c0_17446927_u1,APT_FP_94ec45c0_17446927,ok,,5,2,True
APT_FP_94f63c4c_17438514_u0,APT_FP_94f63c4c_17438514,ok,,2,1,True
APT_FP_2d5e7cdb_17438443_u0,APT_FP_2d5e7cdb_17438443,ok,,17,14,True
APT_FP_2d5e7cdb_17438443_u1,APT_FP_2d5e7cdb_17438443,ok,,16,14,True
APT_FP_2d5e7cdb_17438443_u2,APT_FP_2d5e7cdb_17438443,ok,,11,10,True
APT_FP_2d5e7cdb_17438443_u3,APT_FP_2d5e7cdb_17438443,ok,,11,10,True
APT_FP_70e6c994_17434935_u0,APT_FP_70e6c994_17434935,ok,,17,13,True
APT_FP_70e6c994_17434935_u1,APT_FP_70e6c994_17434935,ok,,3,2,True
APT_FP_70e6c994_17434935_u2,APT_FP_70e6c994_17434935,ok,,6,5,True
APT_FP_70e6c994_17434935_u3,APT_FP_70e6c994_17434935,ok,,3,2,True
,APT_FP_ba3e0686_17434935,rejected,no_unit_with_entrance,21,,
APT_FP_56120688_17447720_u0,APT_FP_56120688_17447720,ok,,13,8,True
APT_FP_56120688_17447720_u1,APT_FP_56120688_17447720,ok,,9,4,True
,APT_FP_d766a2e9_17434935,rejected,no_unit_with_entrance,18,,
APT_FP_261561f8_17446927_u0,APT_FP_261561f8_17446927,ok,,4,3,True
