graph_id,sheet_id,reason,n_rooms,program
APT_FP_5fc1d6ab_17456206_u0,APT_FP_5fc1d6ab_17456206,missing_essential:주방,5,거실:1;현관:1;화장실:1;침실:2
APT_FP_d1f6255c_17436388_u0,APT_FP_d1f6255c_17436388,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_00c4d4e0_17446941_u1,APT_FP_00c4d4e0_17446941,missing_essential:주방,13,침실:3;화장실:2;현관:1;실외기실:1;드레스룸:1;기타:3;거실:1;발코니:1
APT_FP_2c0cbe7d_17446927_u0,APT_FP_2c0cbe7d_17446927,missing_essential:주방,10,거실:1;화장실:2;침실:3;현관:1;드레스룸:1;발코니:1;실외기실:1
APT_FP_2c0cbe7d_17446927_u1,APT_FP_2c0cbe7d_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_012f881c_17446927_u0,APT_FP_012f881c_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;침실:3;화장실:2;현관:1;발코니:1
,APT_FP_a289a5d5_17446927,no_unit_with_entrance,14,
APT_FP_d61c8bcc_17446927_u0,APT_FP_d61c8bcc_17446927,missing_essential:주방,10,침실:3;드레스룸:1;실외기실:1;거실:1;화장실:2;현관:1;발코니:1
APT_FP_d61c8bcc_17446927_u1,APT_FP_d61c8bcc_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_e9ee4e5e_17446927_u3,APT_FP_e9ee4e5e_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_4a36efae_17446927_u2,APT_FP_4a36efae_17446927,missing_essential:주방,10,침실:3;드레스룸:1;화장실:2;거실:1;실외기실:1;현관:1;발코니:1
APT_FP_a1059da8_17434935_u0,APT_FP_a1059da8_17434935,missing_essential:주방,14,화장실:2;거실:1;현관:1;침실:3;발코니:4;기타:2;실외기실:1
APT_FP_fa45ca42_17434935_u0,APT_FP_fa45ca42_17434935,missing_essential:주방,12,거실:1;침실:3;드레스룸:2;기타:2;화장실:2;발코니:1;현관:1
APT_FP_1ae6ae01_17446927_u1,APT_FP_1ae6ae01_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;발코니:1;침실:3;화장실:2;현관:1
APT_FP_34e9032c_17435728_u0,APT_FP_34e9032c_17435728,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_e1c96dcc_17446927_u3,APT_FP_e1c96dcc_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_007103bf_17434935_u3,APT_FP_007103bf_17434935,missing_essential:주방,14,거실:1;발코니:3;기타:1;실외기실:1;침실:3;화장실:2;현관:1;드레스룸:2
APT_FP_546964df_17438443_u0,APT_FP_546964df_17438443,missing_essential:주방,11,침실:3;드레스룸:2;현관:1;기타:1;화장실:2;거실:1;실외기실:1
APT_FP_3bbe6074_17438443_u1,APT_FP_3bbe6074_17438443,missing_essential:화장실,8,주방:1;발코니:2;기타:1;침실:2;현관:1;거실:1
APT_FP_806e9f5e_17434935_u0,APT_FP_806e9f5e_17434935,missing_essential:거실,15,다목적공간:1;발코니:3;화장실:2;침실:4;실외기실:1;드레스룸:1;기타:1;현관:1;주방:1
APT_FP_d174c5cf_17446927_u0,APT_FP_d174c5cf_17446927,missing_essential:주방,10,화장실:2;침실:3;드레스룸:1;실외기실:1;거실:1;현관:1;발코니:1
APT_FP_d174c5cf_17446927_u1,APT_FP_d174c5cf_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_d58adb6a_17434935_u2,APT_FP_d58adb6a_17434935,missing_essential:주방,14,실외기실:1;드레스룸:2;침실:3;거실:1;발코니:3;기타:1;현관:1;화장실:2
APT_FP_b7499fbb_17446927_u1,APT_FP_b7499fbb_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_a649ce6a_17446927_u2,APT_FP_a649ce6a_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
,APT_FP_b65794cb_17446927,no_unit_with_entrance,18,
APT_FP_8e28ab9e_17434935_u3,APT_FP_8e28ab9e_17434935,missing_essential:주방,14,거실:1;기타:1;드레스룸:2;침실:3;화장실:2;발코니:3;현관:1;실외기실:1
APT_FP_6e6adb98_17446927_u1,APT_FP_6e6adb98_17446927,missing_essential:주방,12,현관:1;화장실:2;실외기실:1;침실:3;드레스룸:1;기타:2;거실:1;발코니:1
APT_FP_ab8720dd_17446927_u3,APT_FP_ab8720dd_17446927,missing_essential:주방,10,침실:3;화장실:2;발코니:1;현관:1;드레스룸:1;실외기실:1;거실:1
,APT_FP_d45a49a5_17446927,no_unit_with_entrance,17,
APT_FP_74e999cd_17436388_u0,APT_FP_74e999cd_17436388,missing_essential:주방,12,현관:1;기타:2;드레스룸:1;침실:3;화장실:2;실외기실:1;거실:1;발코니:1
APT_FP_603a6c5f_17446927_u1,APT_FP_603a6c5f_17446927,missing_essential:주방,10,침실:3;발코니:1;거실:1;화장실:2;현관:1;실외기실:1;드레스룸:1
APT_FP_5caf15d5_17446927_u0,APT_FP_5caf15d5_17446927,missing_essential:주방,10,화장실:2;침실:3;현관:1;발코니:1;드레스룸:1;거실:1;실외기실:1
APT_FP_5caf15d5_17446927_u1,APT_FP_5caf15d5_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_43e0c5ef_17446927_u1,APT_FP_43e0c5ef_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_cb9767ad_17436388_u0,APT_FP_cb9767ad_17436388,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_a5fd58ba_17446927_u2,APT_FP_a5fd58ba_17446927,missing_essential:주방,12,침실:3;기타:2;현관:1;실외기실:1;드레스룸:1;거실:1;발코니:1;화장실:2
,APT_FP_6ade3253_17438514,no_unit_with_entrance,20,
,APT_FP_aa553353_17436388,no_unit_with_entrance,23,
APT_FP_3cd282b2_17446927_u0,APT_FP_3cd282b2_17446927,missing_essential:주방,10,발코니:1;거실:1;침실:3;화장실:2;현관:1;드레스룸:1;실외기실:1
APT_FP_3dd94529_17441963_u0,APT_FP_3dd94529_17441963,missing_essential:주방,6,침실:2;거실:1;화장실:1;현관:1;발코니:1
APT_FP_a5129c9f_17446927_u0,APT_FP_a5129c9f_17446927,missing_essential:주방,12,발코니:1;현관:1;화장실:2;드레스룸:1;침실:3;기타:2;실외기실:1;거실:1
APT_FP_a5129c9f_17446927_u2,APT_FP_a5129c9f_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
APT_FP_a5129c9f_17446927_u3,APT_FP_a5129c9f_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
,APT_FP_b2397943_17441963,no_unit_with_entrance,17,
APT_FP_c62a4b85_17446927_u1,APT_FP_c62a4b85_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
,APT_FP_54af4875_17446927,no_unit_with_entrance,18,
APT_FP_a1098e3a_17446927_u2,APT_FP_a1098e3a_17446927,missing_essential:주방,12,침실:3;화장실:2;기타:2;현관:1;드레스룸:1;실외기실:1;거실:1;발코니:1
,APT_FP_64e19dda_17441963,no_unit_with_entrance,19,
APT_FP_fb0db148_17446927_u3,APT_FP_fb0db148_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
,APT_FP_04999105_17446927,no_unit_with_entrance,20,
APT_FP_437c8db6_17446927_u1,APT_FP_437c8db6_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;침실:3;현관:1;발코니:1;화장실:2;드레스룸:1
,APT_FP_4cfd6e74_17441963,no_unit_with_entrance,19,
APT_FP_88790d2c_17441963_u0,APT_FP_88790d2c_17441963,missing_essential:주방,10,거실:1;화장실:2;침실:3;기타:1;발코니:2;현관:1
APT_FP_589c6da4_17434935_u3,APT_FP_589c6da4_17434935,missing_essential:주방,14,실외기실:1;발코니:3;드레스룸:2;기타:1;거실:1;침실:3;화장실:2;현관:1
APT_FP_bd3cf277_17446927_u1,APT_FP_bd3cf277_17446927,missing_essential:주방,10,침실:3;현관:1;화장실:2;드레스룸:1;실외기실:1;거실:1;발코니:1
APT_FP_35eed33a_17446927_u0,APT_FP_35eed33a_17446927,missing_essential:주방,10,현관:1;침실:3;화장실:2;실외기실:1;드레스룸:1;거실:1;발코니:1
APT_FP_4c544f70_17434935_u1,APT_FP_4c544f70_17434935,missing_essential:주방,14,현관:1;발코니:3;침실:3;화장실:2;실외기실:1;드레스룸:2;기타:1;거실:1
APT_FP_1630c772_17434935_u2,APT_FP_1630c772_17434935,missing_essential:주방,14,드레스룸:2;침실:3;거실:1;발코니:3;기타:1;화장실:2;현관:1;실외기실:1
APT_FP_b868a56b_17434935_u2,APT_FP_b868a56b_17434935,missing_essential:주방,14,드레스룸:2;기타:1;화장실:2;현관:1;발코니:3;거실:1;실외기실:1;침실:3
APT_FP_eea5359d_17446927_u1,APT_FP_eea5359d_17446927,missing_essential:주방,10,화장실:2;침실:3;현관:1;발코니:1;드레스룸:1;실외기실:1;거실:1
APT_FP_3eec2426_17434935_u0,APT_FP_3eec2426_17434935,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_98d764a6_17446927_u3,APT_FP_98d764a6_17446927,missing_essential:주방,12,화장실:2;드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1
APT_FP_8c42bbb6_17434935_u0,APT_FP_8c42bbb6_17434935,missing_essential:주방,17,현관:1;발코니:6;침실:3;거실:1;화장실:2;기타:1;드레스룸:2;실외기실:1
APT_FP_f7c2eee6_17446927_u0,APT_FP_f7c2eee6_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_f7c2eee6_17446927_u1,APT_FP_f7c2eee6_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
,APT_FP_42fdc74b_17446927,no_unit_with_entrance,18,
APT_FP_f7c6a966_17446927_u1,APT_FP_f7c6a966_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_d3a3dfe4_17446927_u1,APT_FP_d3a3dfe4_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_57f8d2ac_17438514_u0,APT_FP_57f8d2ac_17438514,missing_essential:주방,13,드레스룸:2;화장실:2;침실:3;발코니:1;기타:3;거실:1;현관:1
APT_FP_3059bfcf_17446927_u2,APT_FP_3059bfcf_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_3059bfcf_17446927_u3,APT_FP_3059bfcf_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
