sheet_id,confidence,scale_mm_per_px,bedroom_med_m2
APT_FP_5b6a3790_17434935,low,7.7197,6.3
APT_FP_5b8604ff_17446927,low,4.1706,1.0
APT_FP_5cbb7235_17446927,low,4.5415,0.8
APT_FP_5ccf2e03_17441963,none,,
APT_FP_5cdc3ba3_17446927,low,7.0095,2.9
APT_FP_5ce2be3d_17435728,none,,
APT_FP_5d10299f_17435728,none,,
APT_FP_5d853efa_17434935,none,,
APT_FP_5d9b7597_17446927,none,,
APT_FP_5dd32718_17434935,none,,
APT_FP_5df5401f_17447720,none,,
APT_FP_5e01262b_17447720,low,1.8886,0.3
APT_FP_5e23d97c_17438514,none,,
APT_FP_5f4bde87_17447720,low,9.1218,4.9
APT_FP_5f4dfdb8_17447720,low,11.2306,4.7
APT_FP_5fcb9a71_17438514,none,,
APT_FP_611ba1f7_17438514,none,,
APT_FP_614d9792_17447720,low,3.0731,0.6
APT_FP_62080f4e_17446927,low,4.1539,0.7
APT_FP_621f3f41_17434935,none,,
APT_FP_6225f205_17435728,none,,
APT_FP_62269db2_17446927,low,4.8433,0.9
APT_FP_629ab4bd_17438514,none,,
APT_FP_641cb87a_17447720,none,,
APT_FP_6430258c_17446927,none,,
APT_FP_645c49d4_17438514,low,16.9085,11.0
APT_FP_646c092a_17434935,none,,
APT_FP_64c23445_17446927,low,12.909,16.1
APT_FP_650c7e39_17447720,low,4.699,1.4
APT_FP_65306e89_17434935,none,,
APT_FP_6578e877_17446927,none,,
APT_FP_6578f905_17438443,low,8.0349,5.7
APT_FP_65e4ca9b_17447720,none,,
APT_FP_66051b5b_17446927,low,15.946,10.1
APT_FP_6679d107_17446927,low,3.6387,0.8
APT_FP_66d9c366_17446927,low,2.1179,0.8
APT_FP_6765a7bd_17434935,none,,
APT_FP_67cfe304_17447720,none,,
APT_FP_681bd72c_17447720,low,4.1917,1.5
APT_FP_681bee3a_17447720,none,,
APT_FP_691bc1ba_17447720,none,,
APT_FP_69629bb7_17447720,low,4.0302,1.0
APT_FP_6965eea3_17446927,low,8.2958,2.9
APT_FP_69ee94ab_17434935,none,,
APT_FP_6a38d768_17446927,none,,
APT_FP_6ac23a42_17434935,low,7.9114,12.3
APT_FP_6ae12c1d_17446927,low,4.1634,1.0
APT_FP_6b0648a5_17441963,none,,
APT_FP_6b37a644_17438514,low,8.4099,5.4
APT_FP_6b6d12ec_17446927,low,2.3987,0.4
APT_FP_6b9397e4_17434935,none,,
APT_FP_6bc083b9_17446927,none,,
APT_FP_6be203e5_17438514,none,,
APT_FP_6c54fd3f_17446927,none,,
APT_FP_6cf68ce4_17434935,none,,
APT_FP_6d50e16c_17446927,low,3.9795,1.0
APT_FP_6d6dbbfd_17446927,low,10.8,4.8
APT_FP_6ddd4794_17438514,none,,
APT_FP_6deff7a0_17434935,low,37.7515,179.9
APT_FP_6e59bc96_17446927,none,,
APT_FP_6e846369_17446927,low,2.6224,1.0
APT_FP_6e8af109_17446927,none,,
APT_FP_6ec9a663_17438528,none,,
APT_FP_6f1bfcdf_17447720,low,2.7812,0.4
APT_FP_6fd571e1_17446927,low,2.5631,0.4
APT_FP_700e3003_17434935,none,,
APT_FP_7029208f_17446927,low,3.9129,0.9
APT_FP_70722df3_17446927,none,,
APT_FP_709d9712_17434935,low,3.7316,1.6
APT_FP_70b48269_17434935,none,,
APT_FP_70e7ccf7_17447720,low,9.893,5.7
APT_FP_7184eda4_17438514,low,16.9263,11.5
APT_FP_71929377_17434935,none,,
APT_FP_71958b50_17447720,low,7.538,3.6
APT_FP_72a883b6_17438443,low,26.8367,41.7
APT_FP_733b8533_17434935,none,,
APT_FP_738f6f8f_17447720,none,,
APT_FP_74a80cd9_17446927,low,4.5666,1.4
APT_FP_74d369bc_17446927,none,,
APT_FP_75193d9e_17446927,low,6.7719,5.6
APT_FP_7529a879_17434935,low,6.9811,8.9
APT_FP_75c3bda2_17446927,none,,
APT_FP_760727c2_17441963,none,,
APT_FP_761d9e05_17446927,none,,
APT_FP_766a8f75_17447720,none,,
APT_FP_76761bb3_17446927,low,2.9033,0.5
APT_FP_769e93a2_17434935,none,,
APT_FP_76fd777f_17446927,none,,
APT_FP_77766e73_17446941,none,,
APT_FP_77a509c8_17435728,none,,
APT_FP_78137bee_17446927,low,5.6965,1.2
APT_FP_784091a9_17446927,none,,
APT_FP_78aba5ff_17441963,none,,
APT_FP_791dc8fe_17434935,none,,
APT_FP_79a6e0b5_17438514,low,30.0364,182.9
APT_FP_79e1d319_17434935,none,,
APT_FP_7af208fa_17447720,none,,
APT_FP_7af75be9_17446927,none,,
APT_FP_7b4b4248_17434935,low,8.0137,8.9
APT_FP_7b56ba53_17446927,low,2.7537,0.8
APT_FP_7b7cb6b7_17441963,low,7.9936,9.2
APT_FP_7b85c8bc_17446927,none,,
APT_FP_7be91ead_17438514,none,,
APT_FP_7c012ead_17434935,low,8.7572,12.8
APT_FP_7c2e5155_17435728,none,,
APT_FP_7c3ba0db_17446941,none,,
APT_FP_7c79fb45_17446927,none,,
APT_FP_7ca1071b_17447720,none,,
APT_FP_7d1c27da_17438514,none,,
APT_FP_7d5241f2_17446927,low,4.9966,0.9
APT_FP_7d53ba4a_17436388,low,10.17,18.8
APT_FP_7d7a5269_17446927,low,4.623,0.9
APT_FP_7de57faa_17446927,low,2.6784,0.3
APT_FP_7e174836_17446927,low,0.8745,0.1
APT_FP_7e2ad30d_17446927,none,,
APT_FP_7e39c8eb_17446927,none,,
APT_FP_7e581813_17441963,none,,
APT_FP_7e6cd7d6_17446927,none,,
APT_FP_7e98b58c_17446927,low,3.6691,0.6
APT_FP_7f057426_17438514,low,8.4644,5.8
APT_FP_7f12b407_17447720,low,9.946,5.3
APT_FP_8055101d_17434935,none,,
APT_FP_8082ecc1_17446927,low,4.4584,1.1
APT_FP_80b4b034_17446927,low,4.1668,0.7
APT_FP_80eed557_17446927,none,,
APT_FP_8103209d_17447720,none,,
APT_FP_8116d805_17434935,low,8.1356,8.4
APT_FP_81199322_17446927,low,4.2139,0.7
APT_FP_81261875_17446927,low,3.1459,0.6
APT_FP_812ae59a_17434935,none,,
APT_FP_814eba37_17446927,low,2.7582,0.4
APT_FP_81b92ff7_17441963,low,7.184,17.0
APT_FP_81ea4b39_17446927,low,4.1539,0.6
APT_FP_8202a861_17441963,none,,
APT_FP_824656d6_17434935,none,,
APT_FP_83733f7b_17446927,low,4.8366,0.8
APT_FP_847f1bae_17447720,low,12.0916,5.6
APT_FP_8500353b_17446927,low,3.3406,0.7
APT_FP_856a2586_17447720,low,1.2489,0.1
APT_FP_859c2961_17446927,none,,
APT_FP_85a6c60d_17446927,low,19.9483,49.5
APT_FP_85abf5d5_17446927,low,8.47,8.8
APT_FP_8649fe4c_17447720,none,,
APT_FP_86706235_17446927,none,,
APT_FP_8674a4ba_17446927,low,4.1668,0.6
APT_FP_867d2cb2_17447720,none,,
APT_FP_86c0ec7d_17447720,low,7.5856,5.3
APT_FP_872e398f_17447720,none,,
APT_FP_8779f5d3_17434935,low,2.3458,0.5
APT_FP_878eabfd_17446927,low,10.3572,5.5
APT_FP_8804396e_17435728,none,,
APT_FP_88cef5c9_17446927,low,4.812,0.9
APT_FP_88cf09ed_17447720,low,9.776,3.5
APT_FP_89196e59_17446927,none,,
APT_FP_89460ef0_17446941,none,,
APT_FP_894ba1e6_17446927,none,,
APT_FP_89590f2b_17446927,low,9.5688,4.3
APT_FP_8a2a3157_17441963,low,7.5984,11.9
APT_FP_8a2add65_17438514,low,26.2275,82.7
APT_FP_8a341ddf_17441963,low,8.0021,7.1
APT_FP_8a7838d7_17434935,none,,
APT_FP_8b4e2ff7_17447720,low,3.2803,1.0
APT_FP_8b86d747_17446927,none,,
APT_FP_8be4231e_17434935,low,4.6937,4.0
APT_FP_8c82b6b7_17434935,low,2.4917,1.1
APT_FP_8ce24016_17446927,low,3.5808,0.7
APT_FP_8d2b1b3a_17434935,low,13.4602,9.3
APT_FP_8d40187c_17438443,low,23.5827,36.7
APT_FP_8d62089c_17447720,none,,
APT_FP_8d6dd172_17447720,low,8.0111,3.4
APT_FP_8e79c8a2_17441963,none,,
APT_FP_8e85a187_17434935,none,,
APT_FP_8ebc5cc8_17447720,none,,
APT_FP_8f0cabdf_17434935,low,41.1536,98.3
APT_FP_8f167051_17446927,low,2.8503,0.3
APT_FP_8f3f41de_17446927,low,4.1043,0.7
APT_FP_8f46c167_17438443,low,7.7919,6.0
